,Tweets,Date,len,Likes,RTweets
95,"Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, la… https://t.co/BtEV9OqmNJ",Thu Feb 22 20:07:20 +0000 2018,140,83262,18619
96,"On behalf of an entire Nation, CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA… https://t.co/1dpsf8yqdq",Thu Feb 22 16:29:50 +0000 2018,135,103355,18332
97,Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nation’… https://t.co/USyL5x0ujR,Thu Feb 22 14:53:52 +0000 2018,140,106089,19759
98,"What many people don’t understand, or don’t want to understand, is that Wayne, Chris and the folks who work so hard… https://t.co/4I87uxDsqD",Thu Feb 22 14:31:35 +0000 2018,140,92822,22789
99,I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and e… https://t.co/5zKlGxnVTc,Thu Feb 22 13:13:32 +0000 2018,140,186473,37179
100,....If a potential “sicko shooter” knows that a school has a large number of very weapons talented teachers (and ot… https://t.co/NTnUcZxrle,Thu Feb 22 13:05:18 +0000 2018,140,107157,25915
101,"....History shows that a school shooting lasts, on average, 3 minutes. It takes police &amp; first responders approxima… https://t.co/v68k63he25",Thu Feb 22 12:54:09 +0000 2018,144,125601,29800
102,....immediately fire back if a savage sicko came to a school with bad intentions. Highly trained teachers would als… https://t.co/wyg77QWPfn,Thu Feb 22 12:40:08 +0000 2018,140,102406,22610
103,I never said “give teachers guns” like was stated on Fake News @CNN &amp; @NBC. What I said was to look at the possibil… https://t.co/Tvi4fzLbCA,Thu Feb 22 12:26:28 +0000 2018,144,88824,22582
104,"I will always remember the time I spent today with courageous students, teachers and families. So much love in the… https://t.co/u8ZYPzhp2S",Thu Feb 22 01:40:33 +0000 2018,139,105900,23845
105,.@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayer… https://t.co/Q8BrGTiHuP,Wed Feb 21 21:12:45 +0000 2018,140,84000,18313
106,"Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to a… https://t.co/PsfNaJrfEB",Wed Feb 21 18:20:25 +0000 2018,140,74577,15160
107,"Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why… https://t.co/dquN8v8VwU",Wed Feb 21 14:40:21 +0000 2018,139,116659,32587
108,The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.,Wed Feb 21 14:22:07 +0000 2018,129,150985,29988
109,"@CNN @MSNBC Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!",Wed Feb 21 01:18:36 +0000 2018,104,81770,16266
110,"So true, thank you! https://t.co/9TTXlfokYz",Wed Feb 21 01:14:19 +0000 2018,43,98423,22054
111,Bad ratings @CNN &amp; @MSNBC got scammed when they covered the anti-Trump Russia rally wall-to-wall. They probably kne… https://t.co/1s5PQaBe2g,Wed Feb 21 01:08:00 +0000 2018,144,95614,22577
112,"Main Street is BOOMING thanks to our incredible TAX CUT and Reform law. ""This shows small-business owners are more… https://t.co/gkJczuVCt6",Tue Feb 20 17:49:07 +0000 2018,139,75090,17638
113,....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking mon… https://t.co/OTpK1KLYOL,Tue Feb 20 15:29:07 +0000 2018,140,79652,19896
114,"A woman I don’t know and, to the best of my knowledge, never met, is on the FRONT PAGE of the Fake News Washington… https://t.co/lWlDMu6gxb",Tue Feb 20 15:16:06 +0000 2018,139,96913,21895
115,"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!",Tue Feb 20 13:38:49 +0000 2018,87,78430,16411
116,"Hope Republicans in the Great State of Pennsylvania challenge the new “pushed” Congressional Map, all the way to th… https://t.co/bT190oQKpM",Tue Feb 20 13:11:58 +0000 2018,140,79640,20410
117,Matt Schlapp and CPAC are getting ready for another exciting event. Big difference from those days when President O… https://t.co/KxKVJL0Bc4,Tue Feb 20 13:03:53 +0000 2018,140,51907,10255
118,"Republicans are now leading the Generic Poll, perhaps because of the popular Tax Cuts which the Dems want to take a… https://t.co/TQfyR96KP8",Tue Feb 20 12:54:39 +0000 2018,140,82422,17292
119,....The President Obama quote just before election. That’s because he thought Crooked Hillary was going to win and… https://t.co/59Wli8q1pN,Tue Feb 20 12:46:18 +0000 2018,139,85818,20904
120,"“There is no serious person out there who would suggest somehow that you could even rig America’s elections, there’… https://t.co/eJ9M6A2H50",Tue Feb 20 12:37:20 +0000 2018,140,68206,17592
121,Thank you to @foxandfriends for the great timeline on all of the failures the Obama Administration had against Russ… https://t.co/SI7CxX4a7C,Tue Feb 20 12:24:54 +0000 2018,140,66670,14787
122,"“The Faith of Donald Trump,” a book just out by David Brody and Scott Lamb, is a very interesting read. Enjoy!",Tue Feb 20 02:48:02 +0000 2018,110,68625,13347
123,"The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into… https://t.co/Sxweprvk7N",Tue Feb 20 02:29:29 +0000 2018,140,121346,25510
124,.@MittRomney has announced he is running for the Senate from the wonderful State of Utah. He will make a great Sena… https://t.co/h1RaVb2OVj,Tue Feb 20 02:21:08 +0000 2018,140,55214,9464
125,"Obama was President up to, and beyond, the 2016 Election. So why didn’t he do something about Russian meddling?",Mon Feb 19 19:55:49 +0000 2018,111,91951,22490
126,"Have a great, but very reflective, President’s Day!",Mon Feb 19 13:42:10 +0000 2018,51,145244,24154
127,"Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Mi… https://t.co/7iuf59562i",Mon Feb 19 04:28:40 +0000 2018,140,154886,34897
128,"My great friends from NASCAR are having their big race today, The Daytona 500. Brian France and the France family a… https://t.co/EWBOQxPW2S",Sun Feb 18 19:13:02 +0000 2018,140,102763,15702
129,"Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, R… https://t.co/XGIgUkn3qK",Sun Feb 18 17:10:32 +0000 2018,140,77994,18141
130,Great Pollster John McLaughlin now has the GOP up in the Generic Congressional Ballot. Big gain over last 4 weeks.… https://t.co/iIrNmfPgbQ,Sun Feb 18 13:55:55 +0000 2018,139,97835,22085
131,The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs,Sun Feb 18 13:46:39 +0000 2018,63,77518,19924
132,"If it was the GOAL of Russia to create discord, disruption and chaos within the U.S. then, with all of the Committe… https://t.co/fx3CPabzTi",Sun Feb 18 13:11:28 +0000 2018,140,119261,33413
133,"RT @mike_pence: Big night. Largest-ever Dallas County GOP Reagan Day Dinner. As I told the crowd, under President @realDonaldTrump: Promise…",Sun Feb 18 12:53:11 +0000 2018,140,0,12929
134,"Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election, he is probably doin… https://t.co/R2OTHSUYP9",Sun Feb 18 12:43:48 +0000 2018,140,90818,19952
135,"I never said Russia did not meddle in the election, I said “it may be Russia, or China or another country or group,… https://t.co/1dMjQbLlSC",Sun Feb 18 12:33:16 +0000 2018,140,127998,32094
136,"Finally, Liddle’ Adam Schiff, the leakin’ monster of no control, is now blaming the Obama Administration for Russia… https://t.co/9HNsbaWwWj",Sun Feb 18 12:22:29 +0000 2018,140,109428,28707
137,"Never gotten over the fact that Obama was able to send $1.7 Billion Dollars in CASH to Iran and nobody in Congress,… https://t.co/5nQ35ANIrg",Sun Feb 18 12:02:52 +0000 2018,140,125351,38568
138,General McMaster forgot to say that the results of the 2016 election were not impacted or changed by the Russians a… https://t.co/ilaHKwf6Jy,Sun Feb 18 04:22:48 +0000 2018,140,97415,27304
139,Very sad that the FBI missed all of the many signals sent out by the Florida school shooter. This is not acceptable… https://t.co/yvvTEmad2e,Sun Feb 18 04:08:45 +0000 2018,140,150169,37472
140,"Just like they don’t want to solve the DACA problem, why didn’t the Democrats pass gun control legislation when the… https://t.co/c2gS0ByFUw",Sat Feb 17 23:45:28 +0000 2018,140,123858,32559
141,“I have seen all of the Russian ads and I can say very definitively that swaying the election was *NOT* the main go… https://t.co/y4PVZ6KZqv,Sat Feb 17 20:16:39 +0000 2018,140,58817,17360
142,"The Fake News Media never fails. Hard to ignore this fact from the Vice President of Facebook Ads, Rob Goldman! https://t.co/XGC7ynZwYJ",Sat Feb 17 20:11:32 +0000 2018,135,61228,18977
143,"Funny how the Fake News Media doesn’t want to say that the Russian group was formed in 2014, long before my run for… https://t.co/9BPo5EB5WN",Sat Feb 17 19:46:48 +0000 2018,140,106632,25792
144,Deputy A.G. Rod Rosenstein stated at the News Conference: “There is no allegation in the indictment that any Americ… https://t.co/pPhsPl34Ie,Sat Feb 17 19:36:14 +0000 2018,140,90919,22084
145,"“Charges Deal Don A Big Win,” written by Michael Goodwin of the @nypost, succinctly states that “the Russians had n… https://t.co/yoFUA9PolC",Sat Feb 17 19:26:13 +0000 2018,140,71709,19074
146,"Melania and I met such incredible people last night in Broward County, Florida. Will never forget them, or the evening!",Sat Feb 17 19:04:43 +0000 2018,119,97675,14885
147,"Our entire Nation, w/one heavy heart, continues to pray for the victims &amp; their families in Parkland, FL. To teache… https://t.co/jR8THlLD5z",Sat Feb 17 04:53:13 +0000 2018,144,118870,24942
148,"Russia started their anti-US campaign in 2014, long before I announced that I would run for President. The results… https://t.co/B4D7ZcKHPp",Fri Feb 16 20:18:11 +0000 2018,139,142395,37516
149,Cannot believe how BADLY DACA recipients have been treated by the Democrats...totally abandoned! Republicans are still working hard.,Fri Feb 16 14:49:54 +0000 2018,132,97945,22124
150,I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have… https://t.co/1APUFLwj1f,Fri Feb 16 14:37:56 +0000 2018,139,120771,20039
151,"Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: https://t.co/RTQWAKiSnR https://t.co/Nhs32bm5zB",Thu Feb 15 20:19:11 +0000 2018,131,62287,13710
152,"...lottery, continues deadly catch-and-release, and bars enforcement even for FUTURE illegal immigrants. Voting for… https://t.co/ruP4vp9vxa",Thu Feb 15 19:26:09 +0000 2018,140,60536,15409
153,The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be “the end of immi… https://t.co/FegRjpmNZj,Thu Feb 15 19:25:23 +0000 2018,140,72783,20209
154,"RT @SpoxDHS: Schumer-Rounds-Collins destroys the ability of @DHSgov to enforce immigration laws, creating a mass amnesty for over 10 millio…",Thu Feb 15 19:22:16 +0000 2018,140,0,8076
